// This file was decompiled using VCSCM.ini published by GTAMods.com on 2019-10-19
DEFINE OBJECTS 205
DEFINE OBJECT (noname)                
DEFINE OBJECT DTN_STADDOORA            // Object number -1
$218 = 300000 // $ = int 
$219 = 300000 // $ = int 
$220 = 300000 // $ = int 
$221 = 300000 // $ = int 
$222 = 300000 // $ = int 
$223 = 300000 // $ = int 
$228 = 300000 // $ = int 
$234 = 300000 // $ = int 
$240 = 300000 // $ = int 
$241 = 80.0 // $ = float 
create_thread_wb @NTR 
create_thread_wb @GMCA 
create_thread_wb @ARRM 
create_thread_wb @TMD 
create_thread_wb @PROSS 
create_thread_wb @BOMM 
create_thread @GMS 
create_thread @O4X4_1 
create_thread @SSSLU 
create_thread @NARIN 
create_thread @SAVEA 
create_thread @MOBL 
create_thread @SALI1 
create_thread @FOOTIN 
wait 0 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @MAIN_4441 
set_weather 0 
if 
   not Actor.Dead($PLAYER_ACTOR)
else_jump @MAIN_4387 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER9' 
038B: load_requested_models 
if 
   not Actor.Dead($PLAYER_ACTOR)
else_jump @MAIN_4387 
0353: refresh_actor $PLAYER_ACTOR 
0169: set_fade_color 0 0 0 

:MAIN_4387
fade 1 1000 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @MAIN_4421 
select_interior 0 
Player.CanMove($PLAYER_CHAR) = True

:MAIN_4421
01B7: release_weather 
01EB: set_traffic_density_multiplier_to 1.0 
04FA: clear_extra_colors_with_fade 0 
jump @MAIN_4441 

:MAIN_4441
wait 1000 
jump @MAIN_4441 

:MAIN_4453
$ONMISSION = 1 // $ = int 
Player.CanMove($PLAYER_CHAR) = False
03D8: show_save_screen 
wait 0 

:MAIN_4473
if 
83D9:   not save_done 
else_jump @MAIN_4497 
wait 0 
jump @MAIN_4473 

:MAIN_4497
0169: set_fade_color 0 0 0 
fade 0 1000 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @MAIN_4542 
0222: set_player $PLAYER_CHAR health_to 100 
Player.CanMove($PLAYER_CHAR) = False

:MAIN_4542
return 

:MAIN_4544
if 
   Player.Defined($PLAYER_CHAR)
else_jump @MAIN_4564 
Camera.Restore_WithJumpCut
Camera.SetBehindPlayer

:MAIN_4564
wait 500 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @MAIN_4599 
Player.CanMove($PLAYER_CHAR) = True
$ONMISSION = 0 // $ = int 

:MAIN_4599
return 
thread 'AMBBANK' 
0@ = 0 // @ = int 

:AMBBANK_17
wait $DEFAULT_WAIT_TIME 
if 
  $243 == 1 // $ == int 
else_jump @AMBBANK_280 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @AMBBANK_273 
if 
  0@ == 0 // @ == int 
else_jump @AMBBANK_273 
if 
00F5:   player $PLAYER_CHAR 0 -926.8099 -327.8378 13.3894 radius 4.0 4.0 4.0 
else_jump @AMBBANK_273 
Player.SetMinWantedLevel($PLAYER_CHAR, 4)
02E1: 1@ = create_cash_pickup 500 at -965.2795 -334.6384 15.0 
02E1: 2@ = create_cash_pickup 500 at -965.3696 -333.3853 15.0 
02E1: 3@ = create_cash_pickup 500 at -927.4954 -339.4821 17.2 
02E1: 4@ = create_cash_pickup 500 at -930.0884 -339.5698 17.2 
02E1: 5@ = create_cash_pickup 500 at -932.9709 -339.4713 17.2 
018D: 6@ = create_sound 0 at -923.4324 -333.2397 14.3816 
0@ = 1 // @ = int 

:AMBBANK_273
jump @AMBBANK_335 

:AMBBANK_280
if 
  0@ == 1 // @ == int 
else_jump @AMBBANK_335 
018E: stop_sound 6@ 
Pickup.Destroy(1@)
Pickup.Destroy(2@)
Pickup.Destroy(3@)
Pickup.Destroy(4@)
Pickup.Destroy(5@)
0@ = 0 // @ = int 

:AMBBANK_335
jump @AMBBANK_17 
thread 'GANGMEM' 
$245 = -1 // $ = int 
0@ = -1 // @ = int 
1@ = -1 // @ = int 
7@ = 0 // @ = int 
8@ = 0 // @ = int 
9@ = 0 // @ = int 
3@ = 0 // @ = int 
4@ = 0 // @ = int 
5@ = 0 // @ = int 
$246 = 0.0 // $ = float 

:GANGMEM_83
wait $DEFAULT_WAIT_TIME 
058C: $246 = percentage_completed 

:GANGMEM_93
if 
  $246 == 100.0 // $ == float 
else_jump @GANGMEM_478 
wait 100 
0084: $247 = $245 // $ = $ int 
0085: 2@ = 3@ // @ = @ int 
0085: 6@ = 7@ // @ = @ int 
10@ = -403.7998 // @ = float 
11@ = -558.5297 // @ = float 
12@ = 17.9388 // @ = float 
13@ = 170.5255 // @ = float 
14@ = -403.7675 // @ = float 
15@ = -559.4329 // @ = float 
GANGMEM_485() 
0084: $245 = $247 // $ = $ int 
0085: 3@ = 2@ // @ = @ int 
0085: 7@ = 6@ // @ = @ int 
wait 100 
008A: $247 = 0@ // $ = @ int 
0085: 2@ = 4@ // @ = @ int 
0085: 6@ = 8@ // @ = @ int 
10@ = -401.1314 // @ = float 
11@ = -565.7331 // @ = float 
12@ = 18.5404 // @ = float 
13@ = 100.8949 // @ = float 
14@ = -402.1638 // @ = float 
15@ = -565.7678 // @ = float 
GANGMEM_485() 
008B: 0@ = $247 // @ = $ int 
0085: 4@ = 2@ // @ = @ int 
0085: 8@ = 6@ // @ = @ int 
wait 100 
008A: $247 = 1@ // $ = @ int 
0085: 2@ = 5@ // @ = @ int 
0085: 6@ = 9@ // @ = @ int 
10@ = -404.3082 // @ = float 
11@ = -561.7204 // @ = float 
12@ = 17.9388 // @ = float 
13@ = 7.0257 // @ = float 
14@ = -404.3812 // @ = float 
15@ = -561.1186 // @ = float 
GANGMEM_485() 
008B: 1@ = $247 // @ = $ int 
0085: 5@ = 2@ // @ = @ int 
0085: 9@ = 6@ // @ = @ int 
jump @GANGMEM_93 

:GANGMEM_478
jump @GANGMEM_83 

:GANGMEM_485
if 
   Player.Defined($PLAYER_CHAR)
else_jump @GANGMEM_1093 
if 
   Player.InZone($PLAYER_CHAR, 'GANG1')
else_jump @GANGMEM_789 
if 
   Player.Money($PLAYER_CHAR) > 6000
else_jump @GANGMEM_782 
if 
  2@ == 0 // @ == int 
else_jump @GANGMEM_782 
Model.Load(#PGA)
Model.Load(#UZI)
if 
   Model.Available(#PGA)
else_jump @GANGMEM_782 
if 
   Model.Available(#UZI)
else_jump @GANGMEM_782 
if 
80C2:   not sphere_onscreen 10@ 11@ 12@ 1.0 
else_jump @GANGMEM_782 
$247 = Actor.Create(CivMale, #PGA, 10@, 11@, 12@)
Actor.Angle($247) = 13@
04F5: set_actor $247 as_player_friend $PLAYER_CHAR flag 1 
0243: set_actor $247 ped_stats_to 16 
01ED: clear_actor $247 threat_search 
0568: set_actor $247 untargetable 1 
01B2: give_actor $247 weapon 23 ammo 9999 // Load the weapon model before using this 
0372: set_actor $247 anim 24 wait_state_time 60000000 ms 
01C5: remove_actor_from_mission_cleanup_list $247 
0319: set_actor $247 running 1 
Actor.Health($247) = 250
02E2: set_actor $247 weapon_accuracy_to 80 
054A: set_actor $247 can_be_shot_in_a_car 0 
0446: set_actor $247 dismemberment_possible 0 
03BC: 6@ = create_sphere 14@ 15@ 12@ 0.75 
2@ = 1 // @ = int 
Model.Destroy(#PGA)
Model.Destroy(#UZI)

:GANGMEM_782
jump @GANGMEM_824 

:GANGMEM_789
if 
  2 > 2@ // int > @ 
else_jump @GANGMEM_824 
Actor.RemoveReferences($247)
2@ = 0 // @ = int 
03BD: destroy_sphere 6@ 

:GANGMEM_824
if 
  2@ == 1 // @ == int 
else_jump @GANGMEM_966 
if 
   not Actor.Dead($247)
else_jump @GANGMEM_959 
if 
00F5:   player $PLAYER_CHAR 0 14@ 15@ 12@ radius 1.0 1.0 2.0 
else_jump @GANGMEM_952 
if 
   Player.Money($PLAYER_CHAR) > 2000
else_jump @GANGMEM_927 
Player.Money($PLAYER_CHAR) += -2000

:GANGMEM_927
01DF: tie_actor $247 to_player $PLAYER_CHAR 
053D: clear_actor $247 wait_state 
03BD: destroy_sphere 6@ 
2@ = 2 // @ = int 

:GANGMEM_952
jump @GANGMEM_966 

:GANGMEM_959
GANGMEM_1116() 

:GANGMEM_966
if 
  2@ == 2 // @ == int 
else_jump @GANGMEM_1086 
if 
   not Actor.Dead($247)
else_jump @GANGMEM_1079 
if 
00E9:   player $PLAYER_CHAR 0 $247 radius 100.0 100.0 
else_jump @GANGMEM_1065 
if 
8320:   not actor $247 in_range_of_player $PLAYER_CHAR 
else_jump @GANGMEM_1058 
01DF: tie_actor $247 to_player $PLAYER_CHAR 

:GANGMEM_1058
jump @GANGMEM_1072 

:GANGMEM_1065
GANGMEM_1116() 

:GANGMEM_1072
jump @GANGMEM_1086 

:GANGMEM_1079
GANGMEM_1116() 

:GANGMEM_1086
jump @GANGMEM_1100 

:GANGMEM_1093
GANGMEM_1116() 

:GANGMEM_1100
jump @GANGMEM_1114 
GANGMEM_1116() 

:GANGMEM_1114
return 

:GANGMEM_1116
if 
   not 2@ == 0 // @ == int 
else_jump @GANGMEM_1205 
Actor.RemoveReferences($247)
if 
   Player.Defined($PLAYER_CHAR)
else_jump @GANGMEM_1193 
if 
   not Player.InZone($PLAYER_CHAR, 'GANG1')
else_jump @GANGMEM_1186 
2@ = 0 // @ = int 

:GANGMEM_1186
jump @GANGMEM_1200 

:GANGMEM_1193
2@ = 0 // @ = int 

:GANGMEM_1200
03BD: destroy_sphere 6@ 

:GANGMEM_1205
return 
thread 'PSAVE1' 

:PSAVE1_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE1_563 
if 
0121:   player $PLAYER_CHAR in_zone 'BEACH1'  // Ocean Beach
else_jump @PSAVE1_563 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE1_563 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE1_533 
if 
  $248 == 0 // $ == int 
else_jump @PSAVE1_138 
$249 = Pickup.Create(#PICKUPSAVE, 3, 219.3, -1273.5, 11.5)
$248 = 1 // $ = int 

:PSAVE1_138
if 
   Pickup.Picked_up($249)
else_jump @PSAVE1_526 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE1_491 
Pickup.Destroy($249)
$249 = Pickup.Create(#PICKUPSAVE, 3, 219.3, -1273.5, 11.5)
fade 1 1000 
if 
  $250 == 0 // $ == int 
else_jump @PSAVE1_433 
0395: clear_area 1 at 220.3 -1275.5 11.0 range 1.0 
0055: put_player $PLAYER_CHAR at 220.3 -1275.5 11.0 
0171: set_player $PLAYER_CHAR z_angle_to 121.0 
Camera.SetPosition(223.301, -1277.655, 13.822, 0.0, 0.0, 0.0)
Camera.PointAt(222.563, -1278.279, 13.565, 2)
03E5: text_box 'HELP19'  // Walk into the ~q~pink marker ~w~to continue.
TIMERA = 0 // @ = int 

:PSAVE1_353
if 
   not TIMERA > 2000 // @ > int 
else_jump @PSAVE1_426 
wait 0 
if 
  TIMERA > 500 // @ > int 
else_jump @PSAVE1_419 
if 
00E1:   player 0 pressed_button 16 
else_jump @PSAVE1_419 
jump @PSAVE1_426 

:PSAVE1_419
jump @PSAVE1_353 

:PSAVE1_426
jump @PSAVE1_487 

:PSAVE1_433
0395: clear_area 1 at 223.1 -1276.7 11.0 range 1.0 
0055: put_player $PLAYER_CHAR at 223.1 -1276.7 11.0 
0171: set_player $PLAYER_CHAR z_angle_to 258.0 

:PSAVE1_487
Camera.Restore_WithJumpCut
Camera.SetBehindPlayer

:PSAVE1_491
wait 500 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE1_526 
Player.CanMove($PLAYER_CHAR) = True
$ONMISSION = 0 // $ = int 

:PSAVE1_526
jump @PSAVE1_563 

:PSAVE1_533
if 
  $248 == 1 // $ == int 
else_jump @PSAVE1_563 
Pickup.Destroy($249)
$248 = 0 // $ = int 

:PSAVE1_563
jump @PSAVE1_10 
thread 'PSAVE2' 

:PSAVE2_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE2_311 
if 
0121:   player $PLAYER_CHAR in_zone 'STARI'  // Starfish Island
else_jump @PSAVE2_311 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE2_311 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE2_281 
if 
  $251 == 0 // $ == int 
else_jump @PSAVE2_138 
$252 = Pickup.Create(#PICKUPSAVE, 3, -378.3, -597.2, 25.8)
$251 = 1 // $ = int 

:PSAVE2_138
if 
   Pickup.Picked_up($252)
else_jump @PSAVE2_274 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE2_267 
Pickup.Destroy($252)
$252 = Pickup.Create(#PICKUPSAVE, 3, -378.3, -597.2, 25.8)
fade 1 1000 
0395: clear_area 1 at -378.3 -592.3 25.3 range 1.0 
0055: put_player $PLAYER_CHAR at -378.5 -589.1 24.6 
0171: set_player $PLAYER_CHAR z_angle_to 0.0 

:PSAVE2_267
MAIN_4544() 

:PSAVE2_274
jump @PSAVE2_311 

:PSAVE2_281
if 
  $251 == 1 // $ == int 
else_jump @PSAVE2_311 
Pickup.Destroy($252)
$251 = 0 // $ = int 

:PSAVE2_311
jump @PSAVE2_10 
thread 'PSAVE3' 

:PSAVE3_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE3_311 
if 
0121:   player $PLAYER_CHAR in_zone 'HAVANA'  // Little Havana
else_jump @PSAVE3_311 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE3_311 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE3_281 
if 
  $8 == 0 // $ == int 
else_jump @PSAVE3_138 
$253 = Pickup.Create(#PICKUPSAVE, 3, -1033.8, -846.9, 13.0)
$8 = 1 // $ = int 

:PSAVE3_138
if 
   Pickup.Picked_up($253)
else_jump @PSAVE3_274 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE3_267 
Pickup.Destroy($253)
$253 = Pickup.Create(#PICKUPSAVE, 3, -1033.8, -846.9, 13.0)
fade 1 1000 
0395: clear_area 1 at -1028.3 -851.9 12.3 range 1.0 
0055: put_player $PLAYER_CHAR at -1028.3 -851.9 12.3 
0171: set_player $PLAYER_CHAR z_angle_to 226.0 

:PSAVE3_267
MAIN_4544() 

:PSAVE3_274
jump @PSAVE3_311 

:PSAVE3_281
if 
  $8 == 1 // $ == int 
else_jump @PSAVE3_311 
Pickup.Destroy($253)
$8 = 0 // $ = int 

:PSAVE3_311
jump @PSAVE3_10 
thread 'PSAVE4' 

:PSAVE4_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE4_311 
if 
0121:   player $PLAYER_CHAR in_zone 'HAITI'  // Little Haiti
else_jump @PSAVE4_311 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE4_311 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE4_281 
if 
  $254 == 0 // $ == int 
else_jump @PSAVE4_138 
$255 = Pickup.Create(#PICKUPSAVE, 3, -992.7, 193.4, 11.4)
$254 = 1 // $ = int 

:PSAVE4_138
if 
   Pickup.Picked_up($255)
else_jump @PSAVE4_274 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE4_267 
Pickup.Destroy($255)
$255 = Pickup.Create(#PICKUPSAVE, 3, -992.7, 193.4, 11.4)
fade 1 1000 
0395: clear_area 1 at -996.5 194.1 10.6 range 1.0 
0055: put_player $PLAYER_CHAR at -996.5 194.1 10.6 
0171: set_player $PLAYER_CHAR z_angle_to 80.0 

:PSAVE4_267
MAIN_4544() 

:PSAVE4_274
jump @PSAVE4_311 

:PSAVE4_281
if 
  $254 == 1 // $ == int 
else_jump @PSAVE4_311 
Pickup.Destroy($255)
$254 = 0 // $ = int 

:PSAVE4_311
jump @PSAVE4_10 
thread 'PSAVE5' 

:PSAVE5_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE5_299 
if 
0121:   player $PLAYER_CHAR in_zone 'BEACH1'  // Ocean Beach
else_jump @PSAVE5_299 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE5_299 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE5_269 
if 
  $256 == 0 // $ == int 
else_jump @PSAVE5_132 
$257 = Pickup.Create(#PICKUPSAVE, 3, $116, $117, $118)
$256 = 1 // $ = int 

:PSAVE5_132
if 
   Pickup.Picked_up($257)
else_jump @PSAVE5_262 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE5_255 
Pickup.Destroy($257)
$257 = Pickup.Create(#PICKUPSAVE, 3, $116, $117, $118)
fade 1 1000 
0395: clear_area 1 at 100.9297 -1470.622 9.3871 range 1.0 
0055: put_player $PLAYER_CHAR at 100.9297 -1470.622 9.3871 
0171: set_player $PLAYER_CHAR z_angle_to 218.0275 

:PSAVE5_255
MAIN_4544() 

:PSAVE5_262
jump @PSAVE5_299 

:PSAVE5_269
if 
  $256 == 1 // $ == int 
else_jump @PSAVE5_299 
Pickup.Destroy($257)
$256 = 0 // $ = int 

:PSAVE5_299
jump @PSAVE5_10 
thread 'PSAVE6' 

:PSAVE6_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE6_311 
if 
0121:   player $PLAYER_CHAR in_zone 'DOCKS'  // Viceport
else_jump @PSAVE6_311 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE6_311 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE6_281 
if 
  $258 == 0 // $ == int 
else_jump @PSAVE6_138 
$259 = Pickup.Create(#PICKUPSAVE, 3, -664.1, -1476.3, 13.8)
$258 = 1 // $ = int 

:PSAVE6_138
if 
   Pickup.Picked_up($259)
else_jump @PSAVE6_274 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE6_267 
Pickup.Destroy($259)
$259 = Pickup.Create(#PICKUPSAVE, 3, -664.1, -1476.3, 13.8)
fade 1 1000 
0395: clear_area 1 at -660.0 -1477.8 13.0 range 1.0 
0055: put_player $PLAYER_CHAR at -660.0 -1477.8 13.0 
0171: set_player $PLAYER_CHAR z_angle_to 248.0 

:PSAVE6_267
MAIN_4544() 

:PSAVE6_274
jump @PSAVE6_311 

:PSAVE6_281
if 
  $258 == 1 // $ == int 
else_jump @PSAVE6_311 
Pickup.Destroy($259)
$258 = 0 // $ = int 

:PSAVE6_311
jump @PSAVE6_10 
thread 'PSAVE7' 

:PSAVE7_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE7_311 
if 
0121:   player $PLAYER_CHAR in_zone 'HAVANA'  // Little Havana
else_jump @PSAVE7_311 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE7_311 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE7_281 
if 
  $260 == 0 // $ == int 
else_jump @PSAVE7_138 
$ICE_CREAM_FACTORY_ASSET = Pickup.Create(#PICKUPSAVE, 3, -878.5, -575.1, 11.2)
$260 = 1 // $ = int 

:PSAVE7_138
if 
   Pickup.Picked_up($ICE_CREAM_FACTORY_ASSET)
else_jump @PSAVE7_274 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE7_267 
Pickup.Destroy($ICE_CREAM_FACTORY_ASSET)
$ICE_CREAM_FACTORY_ASSET = Pickup.Create(#PICKUPSAVE, 3, -878.5, -575.1, 11.2)
fade 1 1000 
0395: clear_area 1 at -872.0 -573.4 10.4 range 1.0 
0055: put_player $PLAYER_CHAR at -872.0 -573.4 10.4 
0171: set_player $PLAYER_CHAR z_angle_to 277.0 

:PSAVE7_267
MAIN_4544() 

:PSAVE7_274
jump @PSAVE7_311 

:PSAVE7_281
if 
  $260 == 1 // $ == int 
else_jump @PSAVE7_311 
Pickup.Destroy($ICE_CREAM_FACTORY_ASSET)
$260 = 0 // $ = int 

:PSAVE7_311
jump @PSAVE7_10 
thread 'PSAVE8' 

:PSAVE8_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE8_311 
if 
0121:   player $PLAYER_CHAR in_zone 'HAVANA'  // Little Havana
else_jump @PSAVE8_311 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE8_311 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE8_281 
if 
  $265 == 0 // $ == int 
else_jump @PSAVE8_138 
$266 = Pickup.Create(#PICKUPSAVE, 3, -1059.6, -282.2, 11.2)
$265 = 1 // $ = int 

:PSAVE8_138
if 
   Pickup.Picked_up($266)
else_jump @PSAVE8_274 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE8_267 
Pickup.Destroy($266)
$266 = Pickup.Create(#PICKUPSAVE, 3, -1059.6, -282.2, 11.2)
fade 1 1000 
0395: clear_area 1 at -1056.7 -279.7 10.6 range 1.0 
0055: put_player $PLAYER_CHAR at -1056.7 -279.7 10.6 
0171: set_player $PLAYER_CHAR z_angle_to 273.0 

:PSAVE8_267
MAIN_4544() 

:PSAVE8_274
jump @PSAVE8_311 

:PSAVE8_281
if 
  $265 == 1 // $ == int 
else_jump @PSAVE8_311 
Pickup.Destroy($266)
$265 = 0 // $ = int 

:PSAVE8_311
jump @PSAVE8_10 
thread 'PSAVE9' 

:PSAVE9_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE9_311 
if 
0121:   player $PLAYER_CHAR in_zone 'PORNI'  // Prawn Island
else_jump @PSAVE9_311 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE9_311 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE9_281 
if 
  $267 == 0 // $ == int 
else_jump @PSAVE9_138 
$268 = Pickup.Create(#PICKUPSAVE, 3, 0.0, 957.9, 11.1)
$267 = 1 // $ = int 

:PSAVE9_138
if 
   Pickup.Picked_up($268)
else_jump @PSAVE9_274 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE9_267 
Pickup.Destroy($268)
$268 = Pickup.Create(#PICKUPSAVE, 3, 0.0, 957.9, 11.1)
fade 1 1000 
0395: clear_area 1 at 1.4 960.7 10.2 range 1.0 
0055: put_player $PLAYER_CHAR at 1.4 960.7 10.2 
0171: set_player $PLAYER_CHAR z_angle_to 274.3 

:PSAVE9_267
MAIN_4544() 

:PSAVE9_274
jump @PSAVE9_311 

:PSAVE9_281
if 
  $267 == 1 // $ == int 
else_jump @PSAVE9_311 
Pickup.Destroy($268)
$267 = 0 // $ = int 

:PSAVE9_311
jump @PSAVE9_10 
thread 'PSAVE10' 

:PSAVE10_10
wait 250 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE10_311 
if 
0121:   player $PLAYER_CHAR in_zone 'BEACH3'  // Vice Point
else_jump @PSAVE10_311 
if 
   Player.Controllable($PLAYER_CHAR)
else_jump @PSAVE10_311 
if 
  $ONMISSION == 0 // $ == int 
else_jump @PSAVE10_281 
if 
  $269 == 0 // $ == int 
else_jump @PSAVE10_138 
$270 = Pickup.Create(#PICKUPSAVE, 3, 499.5, -66.9, 11.4)
$269 = 1 // $ = int 

:PSAVE10_138
if 
   Pickup.Picked_up($270)
else_jump @PSAVE10_274 
MAIN_4453() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PSAVE10_267 
Pickup.Destroy($270)
$270 = Pickup.Create(#PICKUPSAVE, 3, 499.5, -66.9, 11.4)
fade 1 1000 
0395: clear_area 1 at 492.0 -80.6 10.7 range 0.5 
0055: put_player $PLAYER_CHAR at 492.0 -80.6 10.7 
0171: set_player $PLAYER_CHAR z_angle_to 224.5 

:PSAVE10_267
MAIN_4544() 

:PSAVE10_274
jump @PSAVE10_311 

:PSAVE10_281
if 
  $269 == 1 // $ == int 
